190	20.157
14	20.712
135	20.737
136	20.751
158	20.836
195	20.907
19	20.91
85	20.978
9	21.037
1	21.135
35	21.192
126	21.209
161	21.217
107	21.22
173	21.225
177	21.287
71	21.296
8	21.307
122	21.319
168	21.325
142	21.355
69	21.359
188	21.359
18	21.367
148	21.412
50	21.422
150	21.424
43	21.435
133	21.436
129	21.462
65	21.466
134	21.468
130	21.501
170	21.541
171	21.573
3	21.588
79	21.622
144	21.631
88	21.645
68	21.647
12	21.685
42	21.69
146	21.775
163	21.794
162	21.81
66	21.817
152	21.818
2	21.825
117	21.839
119	21.855
76	21.893
81	21.966
154	21.966
93	21.983
157	22.009
47	22.031
103	22.056
187	22.059
51	22.063
118	22.074
7	22.076
17	22.265
106	22.269
89	22.306
166	22.308
141	22.312
83	22.333
55	22.348
53	22.352
102	22.354
24	22.36
127	22.362
0	22.364
184	22.374
26	22.392
74	22.41
64	22.422
114	22.422
40	22.427
111	22.43
164	22.436
45	22.441
149	22.456
186	22.458
87	22.46
59	22.491
185	22.492
95	22.501
140	22.502
27	22.503
70	22.504
21	22.505
91	22.506
175	22.507
37	22.52
179	22.522
143	22.525
63	22.53
176	22.534
123	22.539
169	22.55
183	22.552
104	22.572
33	22.575
105	22.589
125	22.595
67	22.596
196	22.598
112	22.607
82	22.617
44	22.619
159	22.629
156	22.632
178	22.649
145	22.65
110	22.655
99	22.659
20	22.678
128	22.682
120	22.692
34	22.694
58	22.702
62	22.706
77	22.706
197	22.719
92	22.732
46	22.741
167	22.741
72	22.744
86	22.744
56	22.751
138	22.755
16	22.757
108	22.758
124	22.758
180	22.758
199	22.765
22	22.771
13	22.773
137	22.776
182	22.778
38	22.782
75	22.786
192	22.828
25	22.844
139	22.845
4	22.848
109	22.851
30	22.853
10	22.857
57	22.86
90	22.865
147	22.872
172	22.891
121	22.907
28	22.938
96	22.938
116	22.944
160	22.949
181	22.977
84	22.986
132	23.003
29	23.022
115	23.033
151	23.043
78	23.055
193	23.068
41	23.08
194	23.116
80	23.127
153	23.181
97	23.187
165	23.2
54	23.216
101	23.228
198	23.245
6	23.287
61	23.318
131	23.505
94	23.53
60	23.531
73	23.766
189	23.799
48	23.821
155	23.831
100	23.87
98	24.165
113	24.409
36	24.494
49	24.53
191	24.904
174	25.292
39	26.034
23	26.269
52	30.189
32	30.349
15	31.258
5	31.742
31	32.479
11	33.288
